invoice_id,date,service_type,amount,job_description,customer_type,project_type,location_zip,location_id
INV-0052,2025-03-10,Commercial HVAC Replacement,35911.5,Replace aging commercial rooftop unit,residential,installation,94544,LOC-2
INV-0082,2025-03-10,Preventive Maintenance,482.04,Clean coils and inspect system performance,commercial,service,95131,LOC-1
INV-0106,2025-03-20,Preventive Maintenance,989.61,Clean coils and inspect system performance,residential,service,94544,LOC-2
INV-0005,2025-03-21,Heating System Repair,1484.65,Repair furnace ignition system,residential,repair,94544,LOC-2
INV-0084,2025-03-23,Preventive Maintenance,1121.81,Clean coils and inspect system performance,commercial,service,95131,LOC-1
INV-0060,2025-03-25,System Inspection,377.55,Commercial HVAC safety and performance inspection,commercial,service,94544,LOC-2
INV-0022,2025-04-02,HVAC Installation,15257.91,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0044,2025-04-06,System Inspection,260.08,Pre-season HVAC system inspection,residential,service,95131,LOC-1
INV-0036,2025-04-09,Preventive Maintenance,463.9,Clean coils and inspect system performance,residential,service,95131,LOC-1
INV-0079,2025-04-10,AC Repair,1741.02,Replace AC compressor and test system,commercial,repair,95131,LOC-1
INV-0098,2025-04-13,Heating System Repair,3068.99,Repair furnace ignition system,commercial,repair,95131,LOC-1
INV-0126,2025-04-19,System Inspection,355.84,Pre-season HVAC system inspection,residential,service,95131,LOC-1
INV-0039,2025-04-20,HVAC Installation,15056.16,Install new split HVAC system,commercial,installation,94544,LOC-2
INV-0049,2025-04-20,System Inspection,254.95,Commercial HVAC safety and performance inspection,residential,service,95131,LOC-1
INV-0063,2025-04-24,Preventive Maintenance,1587.89,Clean coils and inspect system performance,residential,service,94544,LOC-2
INV-0113,2025-04-24,Preventive Maintenance,439.58,Clean coils and inspect system performance,residential,service,95131,LOC-1
INV-0064,2025-04-27,Commercial HVAC Replacement,39474.33,Install high-efficiency commercial HVAC system,residential,installation,95131,LOC-1
INV-0032,2025-05-02,Preventive Maintenance,406.29,Quarterly preventive maintenance visit,residential,service,95131,LOC-1
INV-0019,2025-05-09,AC Repair,1409.5,Diagnose and repair air conditioning unit,commercial,repair,94544,LOC-2
INV-0115,2025-05-09,Heating System Repair,1304.38,Replace heating system blower motor,residential,repair,94544,LOC-2
INV-0110,2025-05-13,AC Repair,1177.39,Repair refrigerant leak and recharge system,residential,repair,94544,LOC-2
INV-0066,2025-05-14,System Inspection,286.51,Commercial HVAC safety and performance inspection,residential,service,94544,LOC-2
INV-0040,2025-05-16,AC Repair,2469.88,Replace AC compressor and test system,commercial,repair,94544,LOC-2
INV-0047,2025-05-16,Heating System Repair,1416.88,Replace heating system blower motor,residential,repair,95131,LOC-1
INV-0062,2025-05-17,Preventive Maintenance,1516.12,Clean coils and inspect system performance,residential,service,95131,LOC-1
INV-0001,2025-05-21,AC Repair,501.27,Diagnose and repair air conditioning unit,residential,repair,95131,LOC-1
INV-0085,2025-05-22,Heating System Repair,2783.64,Repair furnace ignition system,commercial,repair,95131,LOC-1
INV-0065,2025-05-23,Commercial HVAC Replacement,41337.53,Install high-efficiency commercial HVAC system,residential,installation,95131,LOC-1
INV-0120,2025-05-26,HVAC Installation,8665.58,Install new split HVAC system,residential,installation,95131,LOC-1
INV-0086,2025-05-27,HVAC Installation,9546.03,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0119,2025-05-30,HVAC Installation,9236.1,Install rooftop HVAC unit,commercial,installation,95131,LOC-1
INV-0071,2025-06-03,Heating System Repair,924.03,Replace heating system blower motor,residential,repair,95131,LOC-1
INV-0118,2025-06-04,Commercial HVAC Replacement,27743.79,Install high-efficiency commercial HVAC system,residential,installation,95131,LOC-1
INV-0025,2025-06-07,HVAC Installation,21042.83,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0095,2025-06-17,HVAC Installation,12012.11,Install rooftop HVAC unit,residential,installation,95131,LOC-1
INV-0061,2025-06-20,HVAC Installation,18443.62,Replace residential HVAC system,commercial,installation,95131,LOC-1
INV-0092,2025-06-22,AC Repair,509.5,Repair refrigerant leak and recharge system,commercial,repair,94544,LOC-2
INV-0109,2025-06-22,AC Repair,1819.79,Diagnose and repair air conditioning unit,residential,repair,94544,LOC-2
INV-0030,2025-06-23,HVAC Installation,11533.41,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0053,2025-06-25,HVAC Installation,16665.2,Install rooftop HVAC unit,residential,installation,95131,LOC-1
INV-0006,2025-06-26,HVAC Installation,9805.67,Replace residential HVAC system,residential,installation,94544,LOC-2
INV-0067,2025-06-26,HVAC Installation,16553.71,Replace residential HVAC system,commercial,installation,95131,LOC-1
INV-0097,2025-06-29,Heating System Repair,735.42,Repair furnace ignition system,residential,repair,95131,LOC-1
INV-0090,2025-06-30,AC Repair,462.09,Replace AC compressor and test system,residential,repair,95131,LOC-1
INV-0010,2025-07-06,HVAC Installation,17081.74,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0050,2025-07-09,Preventive Maintenance,1618.91,Clean coils and inspect system performance,residential,service,95131,LOC-1
INV-0057,2025-07-09,Preventive Maintenance,1118.39,Quarterly preventive maintenance visit,residential,service,95131,LOC-1
INV-0007,2025-07-13,AC Repair,705.89,Repair refrigerant leak and recharge system,residential,repair,95131,LOC-1
INV-0012,2025-07-14,Heating System Repair,1024.85,Repair furnace ignition system,residential,repair,94544,LOC-2
INV-0087,2025-07-16,HVAC Installation,10536.21,Install new split HVAC system,commercial,installation,95131,LOC-1
INV-0096,2025-08-04,HVAC Installation,21341.26,Install new split HVAC system,residential,installation,95131,LOC-1
INV-0114,2025-08-06,AC Repair,1538.39,Replace AC compressor and test system,commercial,repair,95131,LOC-1
INV-0104,2025-08-08,Preventive Maintenance,820.81,Clean coils and inspect system performance,commercial,service,95131,LOC-1
INV-0034,2025-08-09,HVAC Installation,9808.57,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0124,2025-08-19,HVAC Installation,15554.73,Replace residential HVAC system,commercial,installation,95131,LOC-1
INV-0021,2025-08-21,HVAC Installation,14369.33,Replace residential HVAC system,residential,installation,94544,LOC-2
INV-0088,2025-08-27,AC Repair,1128.31,Replace AC compressor and test system,residential,repair,95131,LOC-1
INV-0075,2025-08-31,AC Repair,888.09,Repair refrigerant leak and recharge system,commercial,repair,94544,LOC-2
INV-0078,2025-09-01,HVAC Installation,11805.37,Install rooftop HVAC unit,residential,installation,94544,LOC-2
INV-0121,2025-09-02,System Inspection,389.36,Commercial HVAC safety and performance inspection,residential,service,95131,LOC-1
INV-0107,2025-09-05,AC Repair,2335.22,Repair refrigerant leak and recharge system,residential,repair,94544,LOC-2
INV-0026,2025-09-06,System Inspection,264.24,Pre-season HVAC system inspection,commercial,service,94544,LOC-2
INV-0105,2025-09-08,HVAC Installation,14170.79,Replace residential HVAC system,residential,installation,94544,LOC-2
INV-0043,2025-09-15,HVAC Installation,16386.4,Install new split HVAC system,commercial,installation,95131,LOC-1
INV-0017,2025-09-18,HVAC Installation,21966.76,Install new split HVAC system,residential,installation,94544,LOC-2
INV-0076,2025-09-21,HVAC Installation,9644.74,Install new split HVAC system,commercial,installation,95131,LOC-1
INV-0111,2025-09-22,Preventive Maintenance,1133.69,Clean coils and inspect system performance,commercial,service,95131,LOC-1
INV-0117,2025-09-26,HVAC Installation,16459.42,Install new split HVAC system,residential,installation,94544,LOC-2
INV-0024,2025-09-29,AC Repair,2046.18,Replace AC compressor and test system,commercial,repair,95131,LOC-1
INV-0020,2025-10-02,Heating System Repair,897.83,Replace heating system blower motor,commercial,repair,94544,LOC-2
INV-0069,2025-10-03,HVAC Installation,20995.26,Replace residential HVAC system,commercial,installation,94544,LOC-2
INV-0028,2025-10-04,AC Repair,884.19,Repair refrigerant leak and recharge system,commercial,repair,95131,LOC-1
INV-0038,2025-10-04,HVAC Installation,17303.96,Install new split HVAC system,commercial,installation,94544,LOC-2
INV-0027,2025-10-09,HVAC Installation,14916.31,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0041,2025-10-12,AC Repair,2412.5,Diagnose and repair air conditioning unit,commercial,repair,95131,LOC-1
INV-0123,2025-10-13,HVAC Installation,11850.58,Replace residential HVAC system,commercial,installation,95131,LOC-1
INV-0059,2025-10-14,Heating System Repair,1519.56,Repair furnace ignition system,commercial,repair,95131,LOC-1
INV-0056,2025-10-15,AC Repair,1896.62,Repair refrigerant leak and recharge system,residential,repair,95131,LOC-1
INV-0099,2025-10-16,HVAC Installation,17537.69,Install rooftop HVAC unit,commercial,installation,95131,LOC-1
INV-0046,2025-10-17,HVAC Installation,17374.54,Install new split HVAC system,residential,installation,94544,LOC-2
INV-0014,2025-10-18,AC Repair,585.69,Repair refrigerant leak and recharge system,commercial,repair,95131,LOC-1
INV-0045,2025-10-19,AC Repair,2380.27,Repair refrigerant leak and recharge system,residential,repair,95131,LOC-1
INV-0008,2025-10-23,AC Repair,2216.5,Repair refrigerant leak and recharge system,residential,repair,95131,LOC-1
INV-0033,2025-10-23,Heating System Repair,2894.2,Replace heating system blower motor,residential,repair,94544,LOC-2
INV-0068,2025-10-23,System Inspection,286.73,Commercial HVAC safety and performance inspection,residential,service,95131,LOC-1
INV-0042,2025-10-24,Commercial HVAC Replacement,44155.15,Install high-efficiency commercial HVAC system,commercial,installation,95131,LOC-1
INV-0074,2025-10-24,Commercial HVAC Replacement,23674.93,Install high-efficiency commercial HVAC system,residential,installation,95131,LOC-1
INV-0016,2025-10-27,Heating System Repair,2001.34,Replace heating system blower motor,residential,repair,95131,LOC-1
INV-0004,2025-10-29,AC Repair,901.9,Diagnose and repair air conditioning unit,residential,repair,94544,LOC-2
INV-0091,2025-11-05,AC Repair,1956.0,Replace AC compressor and test system,commercial,repair,95131,LOC-1
INV-0100,2025-11-07,Heating System Repair,1036.25,Repair furnace ignition system,commercial,repair,95131,LOC-1
INV-0023,2025-11-08,Commercial HVAC Replacement,35251.64,Replace aging commercial rooftop unit,residential,installation,95131,LOC-1
INV-0083,2025-11-10,System Inspection,868.57,Commercial HVAC safety and performance inspection,commercial,service,94544,LOC-2
INV-0073,2025-11-12,Heating System Repair,2947.29,Repair furnace ignition system,residential,repair,95131,LOC-1
INV-0125,2025-11-14,System Inspection,429.04,Pre-season HVAC system inspection,residential,service,94544,LOC-2
INV-0031,2025-11-20,HVAC Installation,9458.41,Install new split HVAC system,residential,installation,95131,LOC-1
INV-0015,2025-11-26,AC Repair,2263.6,Diagnose and repair air conditioning unit,residential,repair,95131,LOC-1
INV-0035,2025-11-27,HVAC Installation,17321.65,Install rooftop HVAC unit,residential,installation,95131,LOC-1
INV-0011,2025-11-28,HVAC Installation,21144.84,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0029,2025-11-29,Commercial HVAC Replacement,44869.03,Install high-efficiency commercial HVAC system,residential,installation,94544,LOC-2
INV-0051,2025-12-01,AC Repair,2473.83,Repair refrigerant leak and recharge system,residential,repair,95131,LOC-1
INV-0077,2025-12-11,Preventive Maintenance,1426.71,Quarterly preventive maintenance visit,residential,service,94544,LOC-2
INV-0018,2025-12-15,HVAC Installation,10659.76,Install rooftop HVAC unit,residential,installation,95131,LOC-1
INV-0103,2025-12-17,HVAC Installation,18928.49,Replace residential HVAC system,residential,installation,95131,LOC-1
INV-0112,2025-12-20,AC Repair,2004.24,Replace AC compressor and test system,residential,repair,95131,LOC-1
INV-0116,2025-12-20,HVAC Installation,15734.16,Install rooftop HVAC unit,residential,installation,95131,LOC-1
INV-0081,2025-12-23,Heating System Repair,1168.99,Repair furnace ignition system,residential,repair,95131,LOC-1
INV-0089,2025-12-23,AC Repair,2028.08,Repair refrigerant leak and recharge system,residential,repair,94544,LOC-2
INV-0128,2025-12-28,Commercial HVAC Replacement,24249.86,Replace aging commercial rooftop unit,residential,installation,94544,LOC-2
